task,condition,metric,score
active_to_passive,baseline,bleu,0.1434273302541761
active_to_passive,np01,bleu,0.11389034164225112
active_to_passive,np05,bleu,0.11311311875408814
active_to_passive,np10,bleu,0.11165325332949196
active_to_passive,np_generated,bleu,0.17296431886610103
disambiguation_qa,baseline,em,0.0
disambiguation_qa,np01,em,0.0
disambiguation_qa,np05,em,0.0
disambiguation_qa,np10,em,0.0
disambiguation_qa,np_generated,em,0.06666666666666667
dyck_languages,baseline,em,0.5333333333333333
dyck_languages,np01,em,0.4666666666666667
dyck_languages,np05,em,0.5666666666666667
dyck_languages,np10,em,0.5
dyck_languages,np_generated,em,0.5333333333333333
negation,baseline,em,0.0
negation,np01,em,0.0
negation,np05,em,0.0
negation,np10,em,0.0
negation,np_generated,em,0.0
object_counting,baseline,em,0.26666666666666666
object_counting,np01,em,0.26666666666666666
object_counting,np05,em,0.26666666666666666
object_counting,np10,em,0.3
object_counting,np_generated,em,0.3
ruin_names,baseline,bleu,0.1942160942772221
ruin_names,np01,bleu,0.2026287043327793
ruin_names,np05,bleu,0.18387801311242447
ruin_names,np10,bleu,0.17889351717502042
ruin_names,np_generated,bleu,0.20504286725247722
sentiment,baseline,em,0.9
sentiment,np01,em,0.9
sentiment,np05,em,0.9
sentiment,np10,em,0.9
sentiment,np_generated,em,0.9
translation_en-fr,baseline,bleu,0.08298637246848307
translation_en-fr,np01,bleu,0.08702776630982814
translation_en-fr,np05,bleu,0.07517257024290198
translation_en-fr,np10,bleu,0.07611567233896098
translation_en-fr,np_generated,bleu,0.08204327037242407
word_in_context,baseline,em,0.0
word_in_context,np01,em,0.0
word_in_context,np05,em,0.0
word_in_context,np10,em,0.0
word_in_context,np_generated,em,0.0
word_sorting,baseline,em,0.0
word_sorting,np01,em,0.0
word_sorting,np05,em,0.0
word_sorting,np10,em,0.0
word_sorting,np_generated,em,0.0
