task,condition,metric,score
active_to_passive,baseline,bleu,1.0
active_to_passive,np01,bleu,0.9679954523760893
active_to_passive,np05,bleu,1.0
active_to_passive,np10,bleu,1.0
disambiguation_qa,baseline,em,0.0
disambiguation_qa,np01,em,0.0
disambiguation_qa,np05,em,0.0
disambiguation_qa,np10,em,0.0
dyck_languages,baseline,em,0.4
dyck_languages,np01,em,0.43333333333333335
dyck_languages,np05,em,0.3
dyck_languages,np10,em,0.5333333333333333
negation,baseline,em,0.7666666666666667
negation,np01,em,0.7666666666666667
negation,np05,em,0.8
negation,np10,em,0.7666666666666667
object_counting,baseline,em,0.36666666666666664
object_counting,np01,em,0.36666666666666664
object_counting,np05,em,0.26666666666666666
object_counting,np10,em,0.3
ruin_names,baseline,bleu,0.11835084899293026
ruin_names,np01,bleu,0.13217157710205582
ruin_names,np05,bleu,0.10049797251664637
ruin_names,np10,bleu,0.12368119973144351
sentiment,baseline,em,0.8333333333333334
sentiment,np01,em,0.8666666666666667
sentiment,np05,em,0.8333333333333334
sentiment,np10,em,0.8666666666666667
translation_en-fr,baseline,bleu,0.13633475476965076
translation_en-fr,np01,bleu,0.12353645660666561
translation_en-fr,np05,bleu,0.1294640546401287
translation_en-fr,np10,bleu,0.11760885857320252
word_in_context,baseline,em,0.0
word_in_context,np01,em,0.0
word_in_context,np05,em,0.0
word_in_context,np10,em,0.0
word_sorting,baseline,em,0.3333333333333333
word_sorting,np01,em,0.26666666666666666
word_sorting,np05,em,0.16666666666666666
word_sorting,np10,em,0.3
